Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0126,a2011,zT,B,G,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0126
0127,a2012,zT,Aq,Ko,,,21x30,breit,Ul,,Gs,St,F,,,Fst,H1,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0127
0128,a2011,zT,Aq,Dd,,,21x30,breit,,,Gs,St,Sch,F,,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0128
0129,a2014,B,,,,,21x30,breit,,,UoG,St,F,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0129
0130,a2012,zT,Fa,Dd,,,21x30,breit,,,U,St,F,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0130
0131,a2012,Mt,B,Kh,G,T,21x30,breit,,,UoG,St,F,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0131
0132,a2012,Fa,,,,,21x30,breit,,,Gs,St,F,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0132
0133,a2016,zT,Fa,Ac,,,21x30,breit,,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0133
0134,a2012,Mt,Dd,B,G,,21x30,breit,,,UnG,BiB,,,,Fst,H2,gr,"ParPC, Par9a",,Früchtestillleben (nach Paul Cézanne),,,,,0134
0135,a2012,Mt,Dd,C,Kh,,21x30,breit,Lwi,,UoG,F,St,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0135
0136,a2011,Mt,Dd,T,Fs,B,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0136
0137,a2011,G,,,,,21x30,breit,Lst,,U,,,,,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0137
0138,a2011,Mt,Dd,T,B,G,21x30,breit,,,UoG,BiB,F,,,Fst,H3,gr,ParPC,,"Früchtestillleben (nach Paul Cézanne), Fs",,,,,0138
0139,a2012,Mt,G,T,C,Fa,21x30,breit,,,U,,,,,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0139
0140,a2012,Mt,G,C,Kh,,21x30,breit,,,U,,,,,Fst,H3,b,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0140
0141,a2011,Mt,B,G,Kl,,21x30,breit,Lwi,,UoG,St,F,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0141
0142,a2011,zT,Fa,Kh,,,21x30,breit,Gi,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0142
0143,a2016,zT,G,B,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0143
0144,a2015,Ks,,,,,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0144
0145,a2016,G,,,,,21x30,breit,Gi,,UoG,F,,,,Fst,H3,v,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0145
0146,a2011,Ks,,,,,21x30,breit,,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0146
0147,a2011,Mt,Dd,B,G,,21x30,breit,,,U,Sch,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0147
0148,a2011,Mt,B,Fa,Fs,Ko,21x30,breit,Lst,Lwi,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0148
0149,a2011,zT,Aq,B,,,21x30,breit,,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0149
0150,a2011,Mt,Dd,B,Fa,G,21x30,breit,Lst,Lwi,UoG,F,St,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0150
0151,a2012,G,,,,,21x30,breit,,,U,Sch,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0151
0152,a2012,B,,,,,21x30,breit,sM,Lst,Gs,St,F,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0152
0153,a2012,Mt,Dd,B,G,,21x30,breit,,,U,BiB,Ar,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0153
0154,a2012,zT,Fs,T,,,21x30,breit,Ul,,U,,,,,Fst,H1,y,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0154
0155,a2016,Mt,B,G,C,,21x30,breit,Ul,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0155
0156,a2010,G,,,,,21x30,breit,,,U,,,,,Fst,H2,grcf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0156
0157,a2012,zT,B,G,,,21x30,breit,Lwi,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0157
0158,a2012,G,,,,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0158
0159,a2014,B,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0159
0160,a2012,B,,,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0160
0161,a2011,zT,T,G,,,21x30,breit,Gi,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0161
0162,a2016,zT,B,Kh,,,21x30,breit,,,Gs,F,St,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0162
0163,a2011,zT,Aq,G,,,21x30,breit,,,Gs,St,F,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0163
0164,a2012,Mt,Dd,B,Kh,,21x30,breit,Lwi,,Gs,BiB,F,St,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0164
